epoch,train_loss,val_r
1,0.4524673162135053,0.53770053
2,0.25619268113725724,0.52194
3,0.2496495425482996,0.56793344
4,0.2413598453321749,0.57949555
5,0.23036311614849964,0.57862663
6,0.22103791373374032,0.5958408
7,0.22141931671281806,0.5964576
8,0.21203532327339955,0.5883651
9,0.21128201636106966,0.6078752
10,0.20656330016517294,0.6147144
11,0.20712553178087217,0.6177461
12,0.2037304666107035,0.62775755
13,0.2038596792780371,0.62424546
14,0.19961292724403923,0.62795544
15,0.1988367129258372,0.64158785
16,0.19259914172424372,0.63544625
17,0.18458375281194944,0.6648433
18,0.1812996862689841,0.65817153
19,0.17948382915955963,0.66805375
20,0.17741735744110287,0.64944965
21,0.17242115795501847,0.6947737
22,0.16880210389417355,0.70228803
23,0.16872521310384592,0.6955375
24,0.1631210398266618,0.7065892
25,0.16049900830877084,0.7030242
26,0.15899656845241725,0.7221767
27,0.15738414299833559,0.72014225
28,0.1522172759888862,0.7052108
29,0.15236033295756699,0.72103715
30,0.14941398866208674,0.7262433
31,0.14549679203633828,0.72969604
32,0.14254477402439952,0.7529941
33,0.1412095855715225,0.75114334
34,0.1387828407538493,0.7562015
35,0.13633400166667603,0.7655518
36,0.13355593754088302,0.7686472
37,0.1313853554689327,0.7719663
38,0.1290165966307518,0.77906513
39,0.1285921421125648,0.7776971
40,0.1263857496846305,0.7818247
41,0.12451460423815006,0.78353155
42,0.12328365185664597,0.7766892
43,0.12253442656388158,0.7836312
44,0.121555173407759,0.7854186
45,0.12035513031000511,0.7844443
46,0.12042978722192221,0.7847351
47,0.12009045460929696,0.78465426
48,0.11905563549584856,0.7865685
49,0.11971149724160114,0.7869369
50,0.11890799251083889,0.78725505
