epoch,train_loss,val_r,val_rmse,val_ci
1,0.399167921923714,0.43401772,0.7989129578704021,0.6759912993866781
2,0.3453961302621424,0.5214309,0.8446221259501383,0.7434567108828983
3,0.2667719173343005,0.51584613,0.7804363973363384,0.7236485522749965
4,0.24617248461938776,0.5438261,0.9278133318580298,0.734399515047782
5,0.2374402626132811,0.5477724,0.8995604090547376,0.735397946084724
6,0.22635250812791885,0.58081543,0.7075809428413842,0.7437063186421338
7,0.22071196095300574,0.581168,0.8218598803155648,0.7491620310939952
8,0.2200131824323221,0.59654367,0.7219742727345415,0.7858543717016118
9,0.21689241587906047,0.5880682,0.7085132136731342,0.7696655256026245
10,0.21526883675478797,0.61246735,0.6927260179102676,0.7915240336613892
11,0.21553895915606794,0.58351034,0.7193748826093934,0.7876372842675795
12,0.21198725478833513,0.594666,0.7632252199190588,0.7866923406076166
13,0.21351589314967848,0.5986328,0.7099616091382656,0.7890636143203538
14,0.20995816451352758,0.60952836,0.7190603332619514,0.7949650549137071
15,0.2098986492162252,0.60789025,0.7056614372907766,0.7942162316360005
16,0.20906162731116804,0.6089146,0.7123810083176402,0.7883504492939666
17,0.2064342222464357,0.610155,0.7348105174034077,0.7940379403794038
18,0.20621279593725508,0.59220445,0.7025840161607957,0.7914527171587505
19,0.20683335407593104,0.59118116,0.7007445411891399,0.7767080302381971
20,0.20440637261812902,0.60641134,0.710814119469131,0.7792219369562117
