epoch,train_loss,val_r,val_rmse,val_ci
1,0.6568042910417731,0.7024015,1.2051117087063425,0.759209391095192
2,0.48934868280988275,0.7426609,1.2206122524769738,0.7753056724794548
3,0.45315050868647755,0.76148844,1.175379586286805,0.7878027312260887
4,0.4168852067426236,0.77256113,1.0406852040331085,0.7967702859334013
5,0.39795863101013446,0.7679901,1.0624700429844505,0.7974674719164772
6,0.3771002054977505,0.79060495,1.009736405619463,0.8115506287746085
7,0.36076294804185965,0.7933018,1.0047995307599327,0.8138513425187587
8,0.34594199263954256,0.80884993,0.9542987350339559,0.829938909078233
9,0.3354373772348859,0.81465167,0.9796287920577756,0.8266447053081998
10,0.3211769155050843,0.8062029,0.9755587492887877,0.832936808805459
11,0.3124426240394574,0.82465214,0.9226645628371353,0.8284225295650431
12,0.3029279053934191,0.8298129,0.9144784681873208,0.8395339311703138
13,0.2934221447481614,0.83143246,0.9209157834892076,0.8341133101518994
14,0.2879411368388099,0.8331022,0.9040511190764161,0.8383312853495081
15,0.27931550343704914,0.8379624,0.8909884597938628,0.8449458373639398
16,0.27317337163461386,0.83083993,0.9129326839658187,0.8395426459951023
17,0.2663591800096711,0.83535373,0.8928258706474593,0.8398215203883326
18,0.258633009041289,0.8417736,0.882468367487866,0.8430285759104813
19,0.25213528785305755,0.84002817,0.8880990666060155,0.8430285759104813
20,0.24675619302051258,0.847183,0.8704727080184469,0.8415732001708106
21,0.24202375962041342,0.8445705,0.8795493591688791,0.8514209521817564
22,0.2369694771462885,0.8474898,0.8667107379846289,0.8458521791419383
23,0.23163493495824203,0.84396434,0.8771022678303738,0.8604843699617419
24,0.22458916585316743,0.84944737,0.8723926866768792,0.8488413640443759
25,0.22071487143181517,0.852173,0.8526609842659364,0.8504013176815081
26,0.21460011440938345,0.85555834,0.8435369505169051,0.8523185791349664
27,0.2092373748190358,0.8528734,0.8509736431177689,0.8491899570359138
28,0.20455964493594705,0.8578018,0.8391737993752315,0.8547935893748856
29,0.20058614458219276,0.856512,0.8387933949531087,0.853399217408734
30,0.19593306845056008,0.8559518,0.842784647242675,0.856728280477921
31,0.19133676809960726,0.86110604,0.8314620385740173,0.859395016863186
32,0.18666063625144438,0.8611175,0.8254058388762544,0.8579570707730921
33,0.18196091461623437,0.861084,0.8271888623948762,0.8529809058188885
34,0.1782808048766947,0.86253715,0.8229175076701699,0.8571553068925549
35,0.1751312542232734,0.86431044,0.8182338718511319,0.8614604303380481
36,0.17183350860035498,0.86316013,0.8221530791979149,0.8668026179333664
37,0.16729943266670524,0.86227405,0.8246172262637506,0.862140186671547
38,0.16326448639094793,0.8652991,0.815806885239616,0.8617828788552206
39,0.16067930012340634,0.8649373,0.8188162463811262,0.8649376454286386
40,0.15764594770057913,0.8665084,0.8136503805543728,0.858384097187726
41,0.1550070922983798,0.8669616,0.8175367349426275,0.8618264529791628
42,0.1529962914744954,0.86636674,0.8140929086464187,0.8583405230637838
43,0.15098774275155644,0.8672815,0.8106055548695229,0.8657568389587528
44,0.1488108561575872,0.86823195,0.80729268391863,0.8668810513564624
45,0.14649238706423393,0.8677674,0.8129592844514488,0.8640835925993708
46,0.14586080230819395,0.8677659,0.8106099667180883,0.8595083095854358
47,0.14432839390892432,0.8674923,0.8099265424951381,0.8658875613305794
48,0.14316919122969668,0.8681002,0.8091237639287061,0.8629506653768726
49,0.14279078979439577,0.8680671,0.8087485344945727,0.8639964443514863
50,0.14233072397584784,0.86827004,0.8091363974926072,0.863717569958256
