epoch,train_loss,val_r
1,0.5270150930003715,0.57499933
2,0.29916869121244055,0.5707449
3,0.2516175667328815,0.60137165
4,0.225688827412676,0.62973666
5,0.20316838520290711,0.6588892
6,0.19664411072287344,0.67493486
7,0.18207085314198734,0.68872535
8,0.1702033682431919,0.7089564
9,0.16229650255222494,0.71868414
10,0.15304279530954354,0.7246554
11,0.151430668476093,0.7300334
12,0.1457946547639372,0.72976846
13,0.14486476094114265,0.7363799
14,0.14099427595048197,0.73242503
15,0.13952394033690343,0.73367953
16,0.13669462600282298,0.7475096
17,0.1345658217976965,0.74760675
18,0.13306025171971672,0.7577238
19,0.12970522221541494,0.7525076
20,0.1288631333503934,0.74791044
21,0.1281505765703161,0.7538427
22,0.1262028074821531,0.7626118
23,0.12357983459852671,0.76148915
24,0.12230394644633957,0.7732167
25,0.12130566749694358,0.76864576
26,0.1197974618503116,0.77238715
27,0.11877729195922267,0.7748312
28,0.11716590862516572,0.7794634
29,0.11580506511768755,0.7788868
30,0.11401288571890156,0.7837085
31,0.11290866085804473,0.78651
32,0.11112211359288587,0.78188914
33,0.11041844382190678,0.7869564
34,0.10927996497926604,0.7862288
35,0.10762611122638244,0.7926973
36,0.10616854053051746,0.7911404
37,0.105607113547312,0.79412115
38,0.1040799889841292,0.79493076
39,0.10290854714639563,0.7960348
40,0.10242277574819,0.7952075
41,0.10051932738653559,0.7967023
42,0.09993970580189768,0.79812527
43,0.09905946084489359,0.79739505
44,0.09875934473450235,0.79966486
45,0.09752069730957663,0.79961383
46,0.09669265445835608,0.7993003
47,0.09661537471609218,0.7997253
48,0.09608483251247636,0.7998998
49,0.09626907926621524,0.7997744
50,0.09575106308397216,0.8000627
