epoch,train_loss,val_r,val_rmse,val_ci
1,0.5353263267032569,0.37932006,0.9729855757386119,0.6503547918269642
2,0.29750561772389444,0.50940067,0.7615593767943458,0.7109686244336154
3,0.26321224148432715,0.52775055,0.719011798117219,0.7316320424040352
4,0.23851066750115266,0.48659027,0.7642468485544184,0.7060186372574164
5,0.22235976932848125,0.5126839,0.7398472077914263,0.706916303325639
6,0.2092738855634975,0.5982533,0.7129839274345736,0.7625715995554415
7,0.19554106515426434,0.6139612,0.666386028667229,0.7570830127383089
8,0.18765692795620664,0.64205694,0.6626520549170952,0.7833034111310593
9,0.18000693532609685,0.63956475,0.6541313075777136,0.7748311532871677
10,0.1715844330671786,0.639701,0.750358734168079,0.7655210737796017
11,0.1655744849495669,0.6747753,0.7436775909566434,0.7867743865948534
12,0.16288643882722853,0.6798784,0.6245543082883515,0.77770368470548
13,0.1557652950879117,0.69247854,0.6122545529029196,0.7829699923057194
14,0.15287495072001855,0.7053257,0.6501479283143818,0.8001282380097461
15,0.14983024458354247,0.693431,0.6113799441864378,0.8002992220227408
16,0.14804449129931535,0.69097173,0.6086767304130967,0.7962981961186629
17,0.1453503079634354,0.71898717,0.6642643789961151,0.8081901342224502
18,0.14495933822708645,0.71828026,0.5931734749427491,0.8230315465503976
19,0.14146044868648025,0.7217053,0.5918166405930472,0.8198426947080448
20,0.13977590161251546,0.72301054,0.58265005409668,0.8233735145763871
21,0.13822963494641283,0.731624,0.5799912153187133,0.8205351799606737
22,0.13560399498913317,0.734965,0.57456152928757,0.8276224672993076
23,0.134724943515286,0.7120335,0.6261415546808149,0.8033940326579465
24,0.1326713395378368,0.73986876,0.5691072452891678,0.826588014020689
25,0.13167192234913788,0.73531604,0.5869394255630808,0.8180901085748482
26,0.12997445731493562,0.7335011,0.5769921363859984,0.8281268701376421
27,0.1287491675831956,0.74518204,0.5725594505109758,0.8239292126186202
28,0.1281008983030983,0.72795224,0.5853901404573906,0.8237496794049757
29,0.12721672248711513,0.7510645,0.5566430878166461,0.833145250919039
30,0.125626195962409,0.7501273,0.5692814953065289,0.829640078652646
31,0.12494004793802757,0.7512691,0.5837802594038992,0.8278532957168505
32,0.12281264433971438,0.75556654,0.5655534309084158,0.8378986064802941
33,0.12198690819290904,0.75181067,0.5567213568785663,0.8331623493203385
34,0.12168965103897657,0.75765496,0.5499774668152474,0.8332991365307344
35,0.12028040738542824,0.7548501,0.5557381525239752,0.823313670171839
36,0.11888573780847217,0.7652414,0.5474095592961687,0.8404719158758656
37,0.11783282233978566,0.76586986,0.5526480186050003,0.8408309823031547
38,0.11654531133911232,0.7663453,0.5421486843407335,0.8324100196631615
39,0.11571547594014356,0.7657786,0.5450871808203451,0.8438915961357613
40,0.1144238188307452,0.7707311,0.539518909462356,0.8415063691544841
41,0.11409125714489309,0.7698446,0.537539971883584,0.8386851329400701
42,0.11309700888651364,0.7711921,0.5362733194753887,0.8443019577669488
43,0.11273478150795455,0.7740047,0.5349737816919427,0.8430195776694879
44,0.11215528970483937,0.77422565,0.5330166612941075,0.8438915961357613
45,0.11119450847206552,0.7757555,0.5315826720772674,0.8450457382234761
46,0.11118202890131892,0.77474385,0.533178727147212,0.8437975549286142
47,0.11043178421891213,0.77601534,0.5317694144334336,0.8456527314696076
48,0.11015264805564431,0.7759649,0.532739402701399,0.8446097289903394
49,0.11004192395085378,0.7761181,0.5325597717426579,0.8459092074890998
50,0.11025982683365108,0.77619076,0.5319395638892987,0.8458750106865008
