epoch,train_loss,val_r
1,0.42928567770596743,0.52890134
2,0.24176551177308012,0.58357906
3,0.22670529984698062,0.5841494
4,0.22403976524633748,0.59830993
5,0.21560891630095536,0.597245
6,0.21285068593730525,0.5999353
7,0.21209496102950562,0.6159932
8,0.19618806575685124,0.62041163
9,0.1962864530920002,0.65822756
10,0.1883386542766605,0.65592885
11,0.1842850991986234,0.6768364
12,0.17850743478154427,0.68847793
13,0.1742000219795186,0.70514846
14,0.1672853143775331,0.70813453
15,0.16536064881837959,0.72019994
16,0.16226621881567188,0.7056943
17,0.1581674765722341,0.74532413
18,0.156266855350142,0.75440425
19,0.15038943812134228,0.74442434
20,0.14708198765229463,0.77023476
21,0.1425206429402555,0.7759901
22,0.1415509204358745,0.77755463
23,0.14062669145461185,0.77880275
24,0.13472005197746206,0.7742357
25,0.13437968322878766,0.7778068
26,0.13324926581538823,0.7821218
27,0.13065668172644562,0.78350306
28,0.12917325029247834,0.7818644
29,0.12468741800450311,0.79997456
30,0.1248055806123115,0.7951219
31,0.12225659052894972,0.7908915
32,0.12018489264147614,0.79263043
33,0.11924739959385693,0.7991323
34,0.11539157856089505,0.79801786
35,0.11476704210681807,0.7966213
36,0.11175748543459073,0.8023677
37,0.11157355895428395,0.80574995
38,0.10876458542929374,0.80742776
39,0.10782890436808143,0.80749357
40,0.10584291852667146,0.8103317
41,0.10433674146693449,0.8100964
42,0.10292183144718438,0.8109292
43,0.10334174739580863,0.81195533
44,0.10131108268236297,0.8119304
45,0.10042216653897852,0.81274426
46,0.09974641735531417,0.81293154
47,0.09879424276085451,0.8126114
48,0.09825293262725922,0.8132873
49,0.09817242432065017,0.8125335
50,0.09861927831052254,0.8131128
