epoch,train_loss,val_r
1,0.41431836953373474,0.51719904
2,0.2414253867429225,0.4957527
3,0.23766957383624637,0.5332868
4,0.2280751560114427,0.5970917
5,0.2135166775829535,0.5762239
6,0.21389412359228333,0.6146881
7,0.20698707407801045,0.6243257
8,0.20538711074448068,0.61238444
9,0.19944650590833396,0.64313185
10,0.19543372079828483,0.6211177
11,0.19267175210165918,0.66192824
12,0.1827757791321429,0.6556984
13,0.1830214227962428,0.6839583
14,0.17626477321127793,0.67842835
15,0.1729219971782689,0.6951398
16,0.17000978621397245,0.713882
17,0.16263446205546747,0.714019
18,0.15784882605989498,0.7073842
19,0.15754646711726794,0.715521
20,0.1549195596418219,0.72325575
21,0.15372047847426093,0.7238622
22,0.15229708294651684,0.7428005
23,0.14720288427843473,0.7458966
24,0.148136406228923,0.74517846
25,0.14243767965689286,0.7678443
26,0.13970392873727006,0.773337
27,0.13538389878159915,0.774559
28,0.13429535918482766,0.7768075
29,0.1328157030622867,0.770805
30,0.1285089535691013,0.7858861
31,0.12662384004120397,0.7920424
32,0.1238044844209465,0.79478765
33,0.12508772438851265,0.7946017
34,0.1205245147712546,0.79951143
35,0.1201855255918299,0.79702127
36,0.11801405502247309,0.79869175
37,0.11571868910852214,0.79635274
38,0.11423793461585806,0.8010281
39,0.11200220634929467,0.8041214
40,0.11141202656037907,0.8016358
41,0.11062725316859724,0.80189383
42,0.10942731819686749,0.80698144
43,0.10824486276972282,0.8064934
44,0.10748767570221376,0.8063773
45,0.10630598772364802,0.8073454
46,0.10600936072065585,0.8063563
47,0.10588453429907757,0.8060553
48,0.10456455274166289,0.80659556
49,0.10527667546715368,0.8071331
50,0.10427755211792528,0.8072039
