epoch,train_loss,val_r
1,0.5141672152953274,0.5801654
2,0.2692642581945374,0.61116487
3,0.22743482041004964,0.6359123
4,0.20222929138065354,0.6790559
5,0.1890537723671528,0.6813034
6,0.17948782360994997,0.68535113
7,0.16901164313203965,0.6975547
8,0.15826050308614864,0.72029054
9,0.15565059284670377,0.7288038
10,0.15166676932499656,0.7365281
11,0.1474900438139311,0.74587876
12,0.14116975198707743,0.73947865
13,0.13878959255256987,0.7449497
14,0.13610583426893258,0.7496507
15,0.1343359088666421,0.75427467
16,0.13079848574991076,0.7533603
17,0.1299344911245723,0.753741
18,0.12793665714754107,0.7558498
19,0.12676099942383942,0.7643706
20,0.12509502531284625,0.7687671
21,0.12351805334372616,0.7687321
22,0.12204317918877473,0.7683733
23,0.12096499878607272,0.7734107
24,0.11896664951458513,0.77741194
25,0.1175036449327143,0.7743339
26,0.11623155706681441,0.7820965
27,0.11502800774231242,0.785413
28,0.11254477506243993,0.7886913
29,0.11061914584548682,0.7880855
30,0.10962841121843343,0.7903531
31,0.10727962889219644,0.79131097
32,0.1062600920332249,0.7976217
33,0.10487924191038625,0.7952294
34,0.10292450835499456,0.79966354
35,0.10238307414610097,0.80147827
36,0.10095539933921407,0.80185413
37,0.09971016355804228,0.80196786
38,0.09821320717480445,0.80538964
39,0.09706413595143965,0.8053527
40,0.09572456843206567,0.80642396
41,0.09516391923413771,0.8069299
42,0.09417806181000468,0.8081368
43,0.09319141116901665,0.80854696
44,0.09248565152057603,0.80894756
45,0.09189726707873105,0.809562
46,0.09152495661452037,0.80940366
47,0.09104995395137337,0.809718
48,0.0908055064246392,0.80963725
49,0.0904743995331221,0.81003463
50,0.09054972056997863,0.81004953
