epoch,train_loss,val_r
1,0.4745573241892378,0.55019546
2,0.26562869415261947,0.6062807
3,0.21811256184287411,0.62390196
4,0.20037970880188766,0.6810599
5,0.1825073392595314,0.69698846
6,0.16843363416646828,0.71399724
7,0.15723054230453307,0.71745706
8,0.15335579492876392,0.7319356
9,0.14677961138864593,0.7283254
10,0.14484377848135985,0.74712384
11,0.13963885855071043,0.7491107
12,0.13640555000564256,0.7509514
13,0.13535995961464384,0.73909616
14,0.13384291137266194,0.75260913
15,0.13090223138224963,0.7640076
16,0.12724939400561575,0.7620969
17,0.1258676962784929,0.7694657
18,0.12359479033364604,0.7691979
19,0.12367911076746468,0.7689304
20,0.12194271397046702,0.7760919
21,0.1205641210524912,0.7752444
22,0.11894050355960743,0.779745
23,0.11735133914688316,0.78277797
24,0.11568947119390645,0.7847407
25,0.11413103035318489,0.7826673
26,0.11292996418072582,0.7836443
27,0.11070575538520395,0.78513575
28,0.10980700673995744,0.79004073
29,0.1080463690853383,0.7904042
30,0.1072155300298786,0.7931735
31,0.10581316569702384,0.7964784
32,0.10411467881277195,0.7948601
33,0.10271723997686966,0.7987977
34,0.10174950284561535,0.7987729
35,0.10051959679356065,0.79882354
36,0.09919350408964968,0.802628
37,0.09783532811625997,0.80337477
38,0.09671348354105576,0.8036793
39,0.09560922231459341,0.8041633
40,0.09457681707108342,0.8083257
41,0.09362996318025793,0.8086227
42,0.09232307126970174,0.8093313
43,0.09172437706398126,0.8111895
44,0.09075409596183323,0.8118376
45,0.09008902778258847,0.8120248
46,0.08960567420854122,0.81252515
47,0.08897408631296977,0.8133428
48,0.08855861695297348,0.81305075
49,0.08873131504702444,0.8133947
50,0.0883536373832711,0.8132729
