epoch,train_loss,val_r,val_rmse,val_ci
1,0.4914716090103073,0.5286352,0.8007965086436881,0.7517650834403081
2,0.24841400109855807,0.5372127,0.7674612096992895,0.7574882327770646
3,0.23315060677974417,0.5412332,0.7464530838456972,0.7228818998716303
4,0.22279229914854787,0.54438925,0.7350250775736638,0.7493224932249323
5,0.21863247644618536,0.60828054,0.696841049222632,0.7731065468549422
6,0.22080681027200116,0.56696516,0.762972499284315,0.7765119098559407
7,0.2091418166377369,0.6042907,0.7248822955247733,0.7692732848381115
8,0.20930394387581178,0.5864069,0.7237687079823353,0.7970510626158893
9,0.20452030205421787,0.62956333,0.6954100465392765,0.7961417772072458
10,0.1997960342256406,0.6306168,0.7302927223305744,0.7991727285693909
11,0.1970069531466952,0.61592275,0.6907699372461712,0.8076772215090572
12,0.19007426351939177,0.648427,0.6679054140994096,0.7976037655113393
13,0.18796393234039974,0.66658974,0.6732880349037585,0.7913992297817715
14,0.1833733864976027,0.6430725,0.6982731952317907,0.800723862501783
15,0.17674920184711204,0.66889834,0.6847657973468256,0.7993688489516474
16,0.1713301721522776,0.66868675,0.6524732769503462,0.8026494080730281
17,0.16880830327513963,0.691913,0.6295420353226661,0.8222436171730139
18,0.16706142848965513,0.6748949,0.6534686868049241,0.7913814006561118
19,0.16620997534082543,0.70056605,0.6492021946454515,0.8158964484381686
20,0.16348470575504415,0.68480444,0.6487280413048019,0.8035230352303523
21,0.15934478687981676,0.70813775,0.6183881308351109,0.8211382113821138
22,0.1552275983062759,0.7156815,0.6068312542565504,0.8227071744401655
23,0.15270496517358903,0.7161937,0.6113644671378078,0.816092568820425
24,0.1516025646833295,0.72439706,0.5997000759251292,0.8186599629154186
25,0.15081764983994306,0.7244836,0.6012928593719575,0.8214234773926686
26,0.1458937635473428,0.7251853,0.6013390510025399,0.8299457994579946
27,0.14401815336018248,0.72217965,0.6107189080096085,0.8172514619883041
28,0.14295945610695054,0.7363074,0.5946352031923782,0.8265582655826558
29,0.1400948773071427,0.7397609,0.5900135427472428,0.8377906147482528
30,0.13887017052506442,0.7452314,0.5899359776222332,0.8275032092426188
31,0.13561147591300557,0.74338675,0.5852556202833313,0.8286621024104978
32,0.1331352122233187,0.74694264,0.5801325557358897,0.8313721295107688
33,0.1304940824709474,0.7684521,0.567387067086162,0.8452253601483384
34,0.1280149821188662,0.777503,0.5469198208561542,0.8367565254599915
35,0.12498301484494263,0.7831858,0.5462174958917907,0.8343852517472543
36,0.12138791819931244,0.78680503,0.5376705775060555,0.8429967194408786
37,0.11980494755269389,0.78507596,0.5398838585888363,0.8383611467693625
38,0.11969947338988161,0.79470056,0.5357856390754655,0.8435672514619883
39,0.11751184666801005,0.7935568,0.5330040808211911,0.8427827699329625
40,0.11599120027947615,0.79511607,0.5288382369562591,0.8434246184567109
41,0.11429739483821652,0.7975096,0.5246721481522019,0.8456532591641706
42,0.11353566351697394,0.79741716,0.5246983615280402,0.8471687348452432
43,0.11099376077352723,0.7988622,0.5234922693550726,0.8471687348452432
44,0.11063453379935782,0.7987807,0.5233950811250448,0.8507702182284981
45,0.11005759438997983,0.79962546,0.5226491428684618,0.8494330338040222
46,0.10935658620540914,0.80051804,0.5217006392075971,0.849611325060619
47,0.10869070932398708,0.8005029,0.5222629350180672,0.8478640707459706
48,0.10769571749894269,0.80089545,0.5214161631802385,0.8486842105263158
49,0.1078617289524958,0.80089957,0.5217901183671996,0.8481315076308658
50,0.10747399797671149,0.8008653,0.5213771809907529,0.8486128940236771
