epoch,train_loss,val_r
1,0.4177632499607498,0.5255324
2,0.2515644603810149,0.5327443
3,0.24347910948745413,0.5640886
4,0.23239787408871435,0.5957948
5,0.2149868052872626,0.59303737
6,0.2122114845984698,0.6170486
7,0.21013205890020573,0.631681
8,0.20475665565987913,0.61031055
9,0.20415967926747774,0.62833226
10,0.2016756699176913,0.60603976
11,0.20180782560933547,0.6256754
12,0.19535622787787787,0.6430577
13,0.1936962331246217,0.63889015
14,0.18852669184561707,0.6312163
15,0.18854544354647226,0.6324635
16,0.18349264307650806,0.6784094
17,0.17654213831951265,0.6914326
18,0.1719029458674637,0.6880045
19,0.1709644305230921,0.6932287
20,0.16595675790852152,0.7029791
21,0.16322341233391324,0.69504046
22,0.16041232324809798,0.7107881
23,0.16043833769127308,0.7075623
24,0.15865364683006442,0.71698636
25,0.15795608902038166,0.7176571
26,0.15310719604444364,0.72166765
27,0.15062493367325222,0.7304758
28,0.1476219666296552,0.7338146
29,0.14558842991074544,0.73576236
30,0.1425311427663117,0.7406872
31,0.14201222477564257,0.7369076
32,0.14062831401145018,0.7387577
33,0.13922977201211045,0.7446287
34,0.13672979092965126,0.75147104
35,0.13487925094790182,0.75424397
36,0.13346657502435336,0.7601231
37,0.13123448861497194,0.7565503
38,0.12995373995844428,0.76584953
39,0.12759261790393334,0.773147
40,0.12629653335196975,0.77504647
41,0.12660635972089304,0.77971554
42,0.12407154800422836,0.78288865
43,0.12248306222866626,0.7879734
44,0.120985757028163,0.78997016
45,0.1196891680863416,0.7937397
46,0.11909723156214361,0.79303885
47,0.11867412742955234,0.79424083
48,0.11791320603093502,0.79457486
49,0.11736780423884371,0.7947783
50,0.1166464134503994,0.7950798
