epoch,train_loss,val_r,val_rmse,val_ci
1,0.7523023757960539,0.7104145,1.2189412578264112,0.7653184832718938
2,0.5165887558230062,0.7531617,1.089708436065223,0.7909139236755645
3,0.44532449502479204,0.7740387,1.0413857208311847,0.7940512605994057
4,0.4191529556357445,0.75149065,1.118882926843798,0.7792447732838331
5,0.4071664599483999,0.77286565,1.0444543666120298,0.7933366449667529
6,0.4001974185105471,0.78494006,1.1230363132146017,0.8031843969776987
7,0.39118955689952367,0.79008865,0.9987017728025683,0.8015895840414129
8,0.3833811724971735,0.7816053,1.0219600000522762,0.8076376724445955
9,0.38067785080381866,0.7894912,1.0131675332876187,0.798983851429667
10,0.3767230893447769,0.77914894,1.1353381185163842,0.8088751775645551
11,0.37509240611488676,0.79174435,1.0018745971602727,0.7987224066860136
12,0.3674509070075396,0.7980814,0.9838106869079312,0.8088926072141319
13,0.36177160255271057,0.79483235,0.9977838875204257,0.814365517181277
14,0.357241344579216,0.7959577,0.9824907949856045,0.8058249888885984
15,0.35224435914080454,0.7949583,0.9889456283677922,0.7948094503560006
16,0.34795811081301065,0.8000939,0.9987519045299567,0.8085701586969594
17,0.3402483027834932,0.80780977,0.9821827713175592,0.806557034170828
18,0.3336896174563926,0.8123266,0.9477871118120443,0.8180344584172136
19,0.32369312371043457,0.8087908,0.9564267487581322,0.8145223840274691
20,0.3231035684799826,0.81250864,0.9480332243525637,0.8052498104525608
21,0.31507412235085447,0.809514,0.9658789081753603,0.8225923117815717
22,0.3113515740009521,0.8112017,0.966119023831077,0.8116464918472814
23,0.30889740426508844,0.81671095,0.9413453395022013,0.8179821694684828
24,0.3015186043543276,0.81743014,0.9385020622734779,0.8185224886053666
25,0.297640398908803,0.8222077,0.9263305322230229,0.8217382589523038
26,0.2947999591130213,0.82672167,0.9271481559179219,0.8233853608373204
27,0.2904906916908382,0.8196089,0.9352175266264113,0.8194201155585767
28,0.2843746973682608,0.82405025,0.9250097802650348,0.81979485302448
29,0.28053877340431166,0.824563,0.9225334466903076,0.8219822740463802
30,0.27519054253997255,0.8216293,0.9275018982983517,0.82069247997769
31,0.27065139244950737,0.82179546,0.9312665336216462,0.8249976034231832
32,0.2664450675352382,0.8126741,0.9594065869129695,0.8071845015555962
33,0.26159587505430487,0.8260151,0.9209479503731184,0.8296251753858489
34,0.2554964040928324,0.8261433,0.9150314737858181,0.8242306988417998
35,0.25176807395537915,0.829373,0.9125229022666238,0.822034562995111
36,0.24589602619807938,0.8304729,0.9108789546205923,0.824858166226568
37,0.24030218267235917,0.82762897,0.9221534631717977,0.8258342266028742
38,0.23581319086428065,0.82847214,0.913235640875803,0.8270717317228337
39,0.23197803744181134,0.8318768,0.9115543678190345,0.8303049317193478
40,0.22631629204571319,0.8328547,0.9085974708802385,0.8266359904834113
41,0.22249067137000061,0.83099705,0.9066109760503615,0.8238646762006849
42,0.21751426264566734,0.8318008,0.9104799669084441,0.8291458600224842
43,0.2131372109077651,0.83105356,0.912631553155089,0.8236032314570315
44,0.20959776437167055,0.8337376,0.9029246520525623,0.8310979807750966
45,0.2061747217378165,0.83434725,0.9043940250950154,0.8289105597531962
46,0.2050186647170082,0.8342072,0.8995110773207056,0.8291110007233304
47,0.2011740187795473,0.8334592,0.905735428832161,0.8290935710737536
48,0.1998154738957073,0.83477,0.8995154838247151,0.8322309079975947
49,0.19937146130130637,0.83370066,0.9042264775008114,0.8289715635267153
50,0.19762515360087027,0.8336805,0.9024998583489727,0.8298343311807717
